loss,accuracy,trial_id,time_total_s,outer_fold,inner_fold
1.9012821231569563,0.3712948517940718,8d8f0_00002,1690.4891080856323,2,0
2.407764764059157,0.344773790951638,d2735_00001,835.8877329826355,2,1
2.556820490143516,0.3416536661466459,9d196_00000,1743.9714426994324,1,0
2.075536642755781,0.3057722308892355,998b8_00000,433.0884912014008,3,0
2.112707996368408,0.3046875,0c78b_00000,1535.4068982601166,0,2
2.022516443615868,0.2995319812792512,a1400_00000,1718.9781522750854,4,1
3.1212864355607466,0.2948517940717629,e8bbe_00000,821.0232574939728,4,0
2.097283220291138,0.290625,cf44b_00000,1547.0264041423798,0,1
2.01355242729187,0.2761310452418096,116e1_00000,1656.2482299804688,0,0
2.2118235349655158,0.25625,c540c_00000,1668.311859846115,2,2
2.5869961001656274,0.2215288611544461,ef5d3_00001,828.9741520881653,3,1
3.888501381874085,0.215625,357d8_00003,332.1791203022003,1,1
2.378601050376892,0.2109375,24347_00000,414.1975317001343,1,2
2.389249062538147,0.19375,58c3d_00000,975.2274091243744,3,2
12.470463752746582,0.1546875,28880_00000,596.3110489845276,4,2
