epoch,train_loss,train_acc,val_loss,val_acc
1.0,2.8822856744130454,0.15534738485558158,48.627565479278566,0.11875
2.0,2.48205456279573,0.21701795472287275,13.581768703460693,0.1640625
3.0,2.5327786945161366,0.19828259172521467,3.4415215969085695,0.1828125
4.0,2.3457724139803933,0.22716627634660422,38.238355016708375,0.165625
5.0,2.513850371042887,0.22950819672131148,4.332861018180847,0.240625
6.0,2.208246179989406,0.234192037470726,2.2459181785583495,0.2671875
7.0,2.2662551062447682,0.24824355971896955,2.243057835102081,0.225
8.0,2.2310647680645896,0.24512099921935987,4.010738277435303,0.2078125
9.0,2.3159093459447226,0.2568306010928962,3.044924187660217,0.2171875
10.0,2.1943297726767406,0.2466822794691647,2.054307746887207,0.26875
11.0,2.0198790913536433,0.25995316159250587,2.2507294178009034,0.2578125
12.0,2.0146201451619468,0.30679156908665106,2.0650243282318117,0.3046875
13.0,2.02367141133263,0.3153786104605777,2.1233250975608824,0.2578125
14.0,2.0804058483668735,0.27088212334113976,2.101774847507477,0.3015625
15.0,1.9910712923322404,0.29820452771272443,2.039650535583496,0.2875
16.0,1.9323975528989519,0.31303669008587043,2.0210201025009153,0.3140625
17.0,2.095509421257746,0.3013270882123341,2.4354616165161134,0.215625
18.0,2.297814925511678,0.2544886807181889,3.764018750190735,0.153125
19.0,2.1973063151041665,0.2529274004683841,2.1753304600715637,0.228125
20.0,1.9432406964756193,0.3075722092115535,2.097283220291138,0.290625
